ID,Lat_utm,Lon_utm,Lat_deg,Lon_deg,SS-RSRP,SS-SINR,SS-RSRQ,SecArea_UEAllowed,UE_Loc
254,362290.6275,10170090.24,1.538494608,103.7620942,-134.358249,-10.455,-25.435,1,
255,362300.6275,10170090.24,1.538494661,103.762184,-133.9166941,-9.506666667,-24.9,1,
256,362310.6275,10170090.24,1.538494713,103.7622739,-133.2070802,-9.506666667,-24.9,1,
257,362320.6275,10170090.24,1.538494765,103.7623638,-132.8394986,-9.006666667,-21.80666667,1,
258,362330.6275,10170090.24,1.538494818,103.7624537,-132.2540254,-9.006666667,-21.80666667,1,
259,362340.6275,10170090.24,1.53849487,103.7625436,-131.9607179,-8.205714286,-20.67,1,
260,362350.6275,10170090.24,1.538494923,103.7626334,-131.4996114,-8.205714286,-20.67,1,
261,362360.6275,10170090.24,1.538494975,103.7627233,-131.1107179,-8.205714286,-20.67,1,
262,362370.6275,10170090.24,1.538495028,103.7628132,-130.9740254,-7.1692,-19.25,1,
263,362380.6275,10170090.24,1.53849508,103.7629031,-130.7594986,-7.1692,-19.25,1,
264,362390.6275,10170090.24,1.538495133,103.762993,-130.7270802,-7.1692,-19.25,1,
265,362400.6275,10170090.24,1.538495185,103.7630828,-130.6766941,-7.1692,-19.25,1,
266,362410.6275,10170090.24,1.538495238,103.7631727,-130.758249,-7.1692,-19.25,1,
267,362420.6275,10170090.24,1.53849529,103.7632626,-130.8516429,-7.1692,-19.25,1,
268,362430.6275,10170090.24,1.538495342,103.7633525,-131.016769,-8.205714286,-20.67,1,
269,362440.6275,10170090.24,1.538495395,103.7634423,-131.213521,-8.205714286,-20.67,1,
270,362450.6275,10170090.24,1.538495447,103.7635322,-131.4318004,-8.205714286,-20.67,1,
271,362460.6275,10170090.24,1.5384955,103.7636221,-131.6615226,-8.205714286,-20.67,1,
272,362470.6275,10170090.24,1.538495552,103.763712,-131.9126244,-8.205714286,-20.67,1,
273,362480.6275,10170090.24,1.538495604,103.7638019,-132.1750707,-9.006666667,-21.80666667,1,
274,362490.6275,10170090.24,1.538495657,103.7638917,-132.4388614,-9.006666667,-21.80666667,1,
275,362500.6275,10170090.24,1.538495709,103.7639816,-132.7440378,-9.006666667,-21.80666667,1,
276,362510.6275,10170090.24,1.538495762,103.7640715,-133.0706894,-9.506666667,-24.9,1,
277,362520.6275,10170090.24,1.538495814,103.7641614,-133.4289587,-9.506666667,-24.9,1,
278,362530.6275,10170090.24,1.538495866,103.7642513,-133.8090473,-9.506666667,-24.9,1,
279,362540.6275,10170090.24,1.538495919,103.7643411,-134.2312203,-10.455,-25.435,1,
280,362550.6275,10170090.24,1.538495971,103.764431,-134.6658101,-10.455,-25.435,1,
281,362560.6275,10170090.24,1.538496024,103.7645209,-135.1532203,,,,
282,362570.6275,10170090.24,1.538496076,103.7646108,-135.6339283,,,,
283,362580.6275,10170090.24,1.538496128,103.7647006,-136.5384875,,,,
284,362590.6275,10170090.24,1.538496181,103.7647905,-137.0575291,,,,
285,362600.6275,10170090.24,1.538496233,103.7648804,-137.5917633,,,,
286,362610.6275,10170090.24,1.538496285,103.7649703,-138.1419796,,,,
287,362620.6275,10170090.24,1.538496338,103.7650602,-138.7090474,,,,
288,362630.6275,10170090.24,1.53849639,103.76515,-139.2939151,,,,
289,362640.6275,10170090.24,1.538496442,103.7652399,-139.9076102,,,,
290,362220.6275,10170080.24,1.538403789,103.7614651,-139.8079884,,,,
291,362230.6275,10170080.24,1.538403842,103.7615549,-138.433715,,,,
292,362240.6275,10170080.24,1.538403894,103.7616448,-137.6706223,,,,
293,362250.6275,10170080.24,1.538403947,103.7617347,-136.9688107,,,,
294,362260.6275,10170080.24,1.538403999,103.7618246,-135.8784079,,,,
295,362270.6275,10170080.24,1.538404052,103.7619145,-135.2895608,,,,
296,362280.6275,10170080.24,1.538404104,103.7620043,-134.3724278,-10.455,-25.435,1,
297,362290.6275,10170080.24,1.538404157,103.7620942,-133.5471706,-9.506666667,-24.9,1,YES
298,362300.6275,10170080.24,1.538404209,103.7621841,-133.1039467,-9.506666667,-24.9,1,
